         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:117(lrange)
        1    0.000    0.000    0.000    0.000 __init__.py:1185(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1201(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:122(tofloat)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:13(pytest_addoption)
        1    0.000    0.000    0.000    0.000 __init__.py:1328(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:135(toint)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      358    0.000    0.000    0.002    0.000 __init__.py:1391(safe_name)
      714    0.002    0.000    0.027    0.000 __init__.py:1399(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:14(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:1433(Grouper)
        1    0.000    0.000    0.000    0.000 __init__.py:1457(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:147(_BoundMethodProxy)
      442    0.001    0.000    0.033    0.000 __init__.py:1480(has_metadata)
      298    0.002    0.000    0.133    0.000 __init__.py:1483(get_metadata)
      298    0.000    0.000    0.133    0.000 __init__.py:1489(get_metadata_lines)
        1    0.000    0.000    0.059    0.059 __init__.py:15(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
      740    0.001    0.000    0.009    0.000 __init__.py:1541(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1557(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1574(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1579(DefaultProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1580(__init__)
      442    0.000    0.000    0.027    0.000 __init__.py:1582(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1588(LoggerAdapter)
      298    0.008    0.000    0.127    0.000 __init__.py:1594(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1598(_register)
        1    0.000    0.000    0.555    0.555 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1608(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1616(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1623(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:164(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1650(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1670(ContextualZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1690(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
  1586548    1.236    0.000    1.974    0.000 __init__.py:177(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:183(itervalues)
        1    0.000    0.000    0.000    0.000 __init__.py:1859(FileMetadata)
       62    0.000    0.000    0.000    0.000 __init__.py:1871(__init__)
       93    0.000    0.000    0.004    0.000 __init__.py:1874(has_metadata)
       62    0.002    0.000    0.024    0.000 __init__.py:1877(get_metadata)
       62    0.000    0.000    0.000    0.000 __init__.py:1886(_warn_on_replacement)
      372    0.000    0.000    0.000    0.000 __init__.py:189(bind_method)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       62    0.000    0.000    0.024    0.000 __init__.py:1894(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1898(PathMetadata)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
      296    0.000    0.000    0.000    0.000 __init__.py:1918(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1923(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1937(<dictcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1941(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
       22    0.000    0.000    0.000    0.000 __init__.py:1951(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:1960(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:1988(find_nothing)
       18    0.000    0.000    0.038    0.002 __init__.py:1995(_by_version_descending)
        4    0.000    0.000    0.652    0.163 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:200(SetuptoolsVersion)
      356    0.001    0.000    0.033    0.000 __init__.py:2010(_by_version)
      356    0.001    0.000    0.030    0.000 __init__.py:2016(<listcomp>)
      378    0.001    0.000    0.339    0.001 __init__.py:2021(find_on_path)
      374    0.001    0.000    0.002    0.000 __init__.py:2039(<genexpr>)
